Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Evanilson,br BRA,FW,24,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,FW,24.0,25.8,10.0,72.0,31.0,43.1,2.79,1.2,0.14,0.32,12.8,0.0,0.0,1.0,12.5,11.7,0.16,-2.5,-1.7,Matches,Bournemouth,244.0,342.0,71.3,3038.0,622.0,154.0,202.0,76.2,54.0,72.0,75.0,11.0,16.0,68.8,1.0,1.9,1.8,-0.9,26.0,14.0,6.0,0.0,28.0,337.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,61.0,2.37,39.0,0.0,3.0,10.0,9.0,0.0,8.0,0.31,2.0,0.0,1.0,1.0,4.0,0.0,16.0,10.0,6.0,5.0,5.0,8.0,12.0,66.7,4.0,11.0,2.0,9.0,1.0,17.0,21.0,0.0,558.0,23.0,56.0,208.0,299.0,127.0,557.0,21.0,7.0,33.3,8.0,38.1,333.0,1822.0,861.0,29.0,18.0,15.0,38.0,24.0,400.0,99.0,75,67.8,28,80,7,3,23,1,1.45,34,29,+5,+0.19,-0.38,44.1,26.6,+17.5,+0.68,+0.84,1.0,1.0,0.0,37.0,53.0,20.0,5.0,0.0,0.0,67.0,42.0,62.0,40.4
Hamed Junior Traorè,ci CIV,"FW,MF",24,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Illia Zabarnyi,ua UKR,DF,21,36,35,3109,34.5,0,1,1,0,0,0,4,1,1.3,1.3,0.7,2.0,27,140,4,0.00,0.03,0.03,0.00,0.03,0.04,0.02,0.06,0.04,0.06,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ua UKR,DF,21.0,34.5,0.0,12.0,1.0,8.3,0.35,0.03,0.0,0.0,9.8,0.0,0.0,0.0,1.3,1.3,0.11,-1.3,-1.3,Matches,Bournemouth,1404.0,1710.0,82.1,29649.0,10860.0,373.0,418.0,89.2,833.0,914.0,91.1,187.0,346.0,54.0,1.0,0.7,0.8,0.3,12.0,153.0,7.0,0.0,140.0,1677.0,31.0,27.0,6.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,29.0,0.84,26.0,1.0,0.0,0.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,31.0,20.0,1.0,34.0,50.0,68.0,16.0,33.0,20.0,13.0,41.0,93.0,182.0,2.0,2062.0,234.0,929.0,1078.0,77.0,16.0,2062.0,9.0,6.0,66.7,2.0,22.2,1282.0,8351.0,4948.0,27.0,21.0,0.0,14.0,3.0,1306.0,4.0,86,90.9,35,88,30,1,45,0,1.53,53,41,+12,+0.35,+0.35,57.2,42.0,+15.2,+0.44,+0.35,4.0,1.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,157.0,77.0,44.0,63.6
Jaidon Anthony,eng ENG,"FW,MF",24,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
James Hill,eng ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,22.0,5.0,0.0,6.0,0.0,0.0,1.21,0.0,0.0,N/a,13.9,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Matches,Bournemouth,159.0,245.0,64.9,3098.0,1094.0,51.0,67.0,76.1,85.0,110.0,77.3,21.0,58.0,36.2,1.0,0.3,0.3,0.7,3.0,20.0,6.0,0.0,16.0,212.0,33.0,3.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.61,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,6.0,6.0,3.0,3.0,11.0,27.3,8.0,5.0,0.0,5.0,9.0,24.0,31.0,0.0,319.0,19.0,99.0,167.0,54.0,8.0,319.0,2.0,1.0,50.0,1.0,50.0,146.0,552.0,295.0,3.0,6.0,0.0,2.0,0.0,179.0,8.0,45,13.1,6,68,1,4,11,21,1.30,7,9,-2,-0.40,-0.83,10.5,8.5,+1.9,+0.39,-0.02,1.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,13.0,14.0,12.0,53.8
Julian Araujo,mx MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,mx MEX,DF,22.0,5.5,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Bournemouth,178.0,225.0,79.1,3006.0,890.0,84.0,94.0,89.4,83.0,96.0,86.5,10.0,29.0,34.5,0.0,0.1,0.1,-0.1,1.0,17.0,3.0,2.0,14.0,198.0,27.0,2.0,0.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.91,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,6.0,0.0,5.0,12.0,41.7,7.0,3.0,0.0,3.0,6.0,16.0,18.0,0.0,275.0,20.0,90.0,136.0,55.0,2.0,275.0,1.0,0.0,0.0,1.0,100.0,126.0,482.0,258.0,4.0,3.0,0.0,5.0,2.0,149.0,22.0,41,14.5,7,62,0,5,12,7,1.08,2,10,-8,-1.45,-2.06,6.8,9.4,-2.6,-0.47,-1.02,2.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,29.0,3.0,9.0,25.0
Julio Soler,ar ARG,"DF,FW",19,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,"DF,FW",19.0,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Bournemouth,11.0,14.0,78.6,104.0,18.0,11.0,13.0,84.6,0.0,1.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,3.0,6.0,8.0,0.0,17.0,0.0,0.0,N/a,0.0,N/a,12.0,30.0,8.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,4,0.3,0,N/a,0,3,4,10,2.00,1,1,0,0.00,-0.32,0.3,0.1,+0.2,+2.03,+1.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a
Justin Kluivert,nl NED,MF,25,34,29,2340,26.0,12,6,18,6,6,6,8,0,10.3,5.6,4.8,10.5,81,105,173,0.46,0.23,0.69,0.23,0.46,0.40,0.19,0.58,0.22,0.40,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,nl NED,MF,25.0,26.0,12.0,57.0,23.0,40.4,2.19,0.88,0.11,0.26,20.0,0.0,6.0,6.0,10.3,5.6,0.1,1.7,0.4,Matches,Bournemouth,582.0,782.0,74.4,8844.0,2330.0,322.0,382.0,84.3,189.0,248.0,76.2,45.0,87.0,51.7,6.0,4.8,3.7,1.2,45.0,45.0,35.0,6.0,105.0,683.0,92.0,8.0,5.0,6.0,85.0,10.0,35.0,30.0,0.0,0.0,7.0,18.0,101.0,3.88,73.0,8.0,7.0,7.0,5.0,1.0,12.0,0.46,11.0,0.0,0.0,0.0,1.0,0.0,23.0,11.0,4.0,11.0,8.0,4.0,22.0,18.2,18.0,24.0,0.0,24.0,14.0,37.0,24.0,1.0,1086.0,24.0,99.0,366.0,641.0,134.0,1080.0,87.0,36.0,41.4,40.0,46.0,646.0,4198.0,2364.0,81.0,55.0,38.0,55.0,27.0,710.0,173.0,69,68.4,29,74,5,5,40,0,1.50,38,29,+9,+0.35,+0.10,43.0,32.5,+10.5,+0.41,-0.01,8.0,0.0,0.0,47.0,33.0,5.0,1.0,0.0,0.0,78.0,8.0,28.0,22.2
Kepa Arrizabalaga,es ESP,GK,29,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth,es ESP,GK,29.0,31.0,2790.0,39.0,1.26,134.0,95.0,73.9,13.0,7.0,11.0,8.0,25.8,4.0,4.0,0.0,0.0,0.0,Matches,Bournemouth,0.0,4.0,41.0,0.28,2.0,0.07,132.0,365.0,36.2,831.0,122.0,33.2,32.9,192.0,46.4,38.7,367.0,22.0,6.0,54.0,1.74,16.0,es ESP,GK,29.0,31.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,N/a,9.7,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Matches,Bournemouth,752.0,1027.0,73.2,20531.0,13943.0,120.0,122.0,98.4,390.0,397.0,98.2,241.0,500.0,48.2,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,728.0,295.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.13,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,15.0,3.0,1087.0,800.0,1057.0,29.0,1.0,1.0,1087.0,1.0,1.0,100.0,0.0,0.0,621.0,3129.0,1797.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,90,81.6,31,90,31,0,N/a,1,1.48,50,39,+11,+0.35,+0.21,53.6,38.3,+15.3,+0.49,+0.46,3.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,56.0,7.0,1.0,87.5
Lewis Cook,eng ENG,"MF,DF",27,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,DF",27.0,33.1,1.0,14.0,4.0,28.6,0.42,0.12,0.07,0.25,23.4,1.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,Matches,Bournemouth,1224.0,1585.0,77.2,21139.0,7153.0,542.0,635.0,85.4,546.0,641.0,85.2,109.0,240.0,45.4,3.0,4.1,3.8,-1.1,48.0,157.0,26.0,11.0,158.0,1358.0,225.0,71.0,3.0,2.0,132.0,73.0,77.0,65.0,3.0,0.0,2.0,26.0,89.0,2.69,69.0,18.0,0.0,2.0,0.0,0.0,5.0,0.15,2.0,1.0,0.0,2.0,0.0,0.0,81.0,42.0,41.0,36.0,4.0,37.0,67.0,55.2,30.0,30.0,11.0,19.0,41.0,122.0,70.0,0.0,1900.0,87.0,440.0,1010.0,470.0,20.0,1900.0,20.0,13.0,65.0,7.0,35.0,825.0,4125.0,2159.0,33.0,29.0,4.0,31.0,18.0,965.0,52.0,83,87.1,32,89,30,4,31,0,1.39,47,43,+4,+0.12,-1.51,55.1,44.5,+10.6,+0.32,-0.68,8.0,1.0,0.0,49.0,10.0,3.0,0.0,1.0,0.0,187.0,41.0,34.0,54.7
