Player,Team,Position_group,market_value_million,predicted_value_million
Marc Guéhi,Crystal Palace,DEF,45.0,40.46666666666667
Maxence Lacroix,Crystal Palace,DEF,25.0,28.726666666666667
Nathaniel Clyne,Crystal Palace,DEF,1.0,1.4051666666666671
Odsonne Édouard,Crystal Palace,MID,8.0,10.625
Romain Esse,Crystal Palace,MID,12.0,13.9
Trevoh Chalobah,Crystal Palace,DEF,25.0,24.636666666666667
Trevoh Chalobah,Crystal Palace,DEF,25.0,24.636666666666667
Tyrick Mitchell,Crystal Palace,DEF,25.0,28.043333333333333
Will Hughes,Crystal Palace,MID,7.0,9.365
Abdoulaye Doucouré,Everton,MID,7.0,10.404666666666667
Armando Broja,Everton,FWD,12.0,14.098333333333333
Ashley Young,Everton,DEF,0.5,2.1708333333333334
Beto,Everton,FWD,22.0,24.60333333333333
Carlos Alcaraz,Everton,MID,14.0,18.093333333333334
Dominic Calvert-Lewin,Everton,FWD,16.0,22.143333333333334
Dwight McNeil,Everton,MID,25.0,25.776666666666667
Idrissa Gana Gueye,Everton,MID,1.5,5.211666666666667
Iliman Ndiaye,Everton,FWD,22.0,26.89666666666667
Jack Harrison,Everton,FWD,14.0,20.788333333333334
Jake O'Brien,Everton,DEF,18.0,19.838333333333335
James Garner,Everton,DEF,18.0,18.743333333333332
James Tarkowski,Everton,DEF,9.0,9.610666666666667
Jarrad Branthwaite,Everton,DEF,50.0,42.73
Jesper Lindstrøm,Everton,FWD,18.0,19.446666666666665
Jordan Pickford,Everton,GK,18.0,14.939
Michael Keane,Everton,DEF,5.0,5.825333333333334
Nathan Patterson,Everton,DEF,15.0,13.398333333333333
Orel Mangala,Everton,MID,18.0,26.973333333333333
Séamus Coleman,Everton,DEF,0.5,1.1338333333333332
Tim Iroegbunam,Everton,MID,9.0,12.76
Vitaliy Mykolenko,Everton,DEF,28.0,24.293333333333333
Adama Traoré,Fulham,MID,9.0,16.86
Alex Iwobi,Fulham,MID,28.0,31.726666666666667
Andreas Pereira,Fulham,MID,18.0,20.97
Antonee Robinson,Fulham,DEF,35.0,32.49
Bernd Leno,Fulham,GK,10.0,10.350666666666665
Calvin Bassey,Fulham,DEF,25.0,26.846666666666668
Emile Smith Rowe,Fulham,MID,30.0,32.95666666666666
Harrison Reed,Fulham,MID,6.0,5.023166666666671
Harry Wilson,Fulham,MID,15.0,17.626666666666665
Issa Diop,Fulham,DEF,14.0,17.064
Joachim Andersen,Fulham,DEF,27.0,26.561666666666667
Jorge Cuenca,Fulham,DEF,5.0,6.266666666666667
Joshua King,Fulham,MID,1.0,18.955
Kenny Tete,Fulham,DEF,13.0,15.003333333333334
Raúl Jiménez,Fulham,FWD,5.0,9.495833333333334
Reiss Nelson,Fulham,FWD,16.0,18.43
Rodrigo Muniz,Fulham,FWD,20.0,22.446666666666665
Ryan Sessegnon,Fulham,DEF,15.0,17.038333333333334
Sander Berge,Fulham,MID,25.0,25.713333333333335
Saša Lukić,Fulham,MID,14.0,18.766666666666666
Timothy Castagne,Fulham,DEF,13.0,15.586666666666666
Tom Cairney,Fulham,MID,1.5,2.3766666666666665
Willian,Fulham,MID,0.75,1.2996666666666665
Abdul Fatawu Issahaku,Leicester City,FWD,,20.048333333333332
Bilal El Khannouss,Leicester City,MID,28.0,24.92
Bobby De Cordova-Reid,Leicester City,FWD,2.5,3.3345000000000002
Boubakary Soumaré,Leicester City,MID,12.0,14.591666666666667
Caleb Okoli,Leicester City,DEF,10.0,11.241666666666667
Conor Coady,Leicester City,DEF,2.2,3.2666666666666786
Danny Ward,Leicester City,GK,1.2,2.004666666666666
Facundo Buonanotte,Leicester City,MID,20.0,21.323333333333334
Hamza Choudhury,Leicester City,DEF,4.5,6.081666666666667
Harry Winks,Leicester City,MID,9.0,12.78433333333333
Jakub Stolarczyk,Leicester City,GK,1.0,5.916666666666667
James Justin,Leicester City,DEF,13.0,16.113333333333333
Jamie Vardy,Leicester City,FWD,1.0,10.204666666666666
Jannik Vestergaard,Leicester City,DEF,2.0,3.0268333333333346
Jeremy Monga,Leicester City,MID,,13.55
Jordan Ayew,Leicester City,MID,2.5,4.930000000000001
Kasey McAteer,Leicester City,FWD,2.0,15.295
Luke Thomas,Leicester City,DEF,6.0,8.351666666666667
Mads Hermansen,Leicester City,GK,15.0,15.771666666666667
Oliver Skipp,Leicester City,MID,10.0,11.675
Patson Daka,Leicester City,MID,9.0,13.018333333333333
Ricardo Pereira,Leicester City,DEF,4.5,4.180833333333334
Stephy Mavididi,Leicester City,FWD,10.0,13.706666666666667
Victor Bernth Kristiansen,Leicester City,DEF,15.0,16.351666666666667
Wilfred Ndidi,Leicester City,MID,15.0,16.743333333333332
Wout Faes,Leicester City,DEF,15.0,18.66
Woyo Coulibaly,Leicester City,DEF,2.0,5.391666666666667
Alexis Mac Allister,Liverpool,MID,100.0,89.33333333333333
Alisson,Liverpool,GK,20.0,24.48
Andrew Robertson,Liverpool,DEF,18.0,26.7
Caoimhín Kelleher,Liverpool,GK,20.0,22.368333333333332
Cody Gakpo,Liverpool,FWD,70.0,68.26
Conor Bradley,Liverpool,DEF,30.0,27.066666666666666
Curtis Jones,Liverpool,DEF,45.0,42.77
Darwin Núñez,Liverpool,FWD,45.0,39.31333333333333
Diogo Jota,Liverpool,FWD,40.0,58.88
Dominik Szoboszlai,Liverpool,MID,80.0,78.5
Federico Chiesa,Liverpool,FWD,14.0,18.161666666666665
Harvey Elliott,Liverpool,MID,30.0,27.25
Ibrahima Konaté,Liverpool,DEF,60.0,62.68
Jarell Quansah,Liverpool,DEF,20.0,21.006666666666668
Joe Gomez,Liverpool,DEF,20.0,22.43
Kostas Tsimikas,Liverpool,DEF,18.0,19.145
Luis Díaz,Liverpool,FWD,70.0,70.50333333333333
Mohamed Salah,Liverpool,FWD,50.0,69.56
Ryan Gravenberch,Liverpool,MID,75.0,71.89666666666666
Trent Alexander-Arnold,Liverpool,DEF,75.0,75.69
Virgil van Dijk,Liverpool,DEF,23.0,29.551666666666666
Wataru Endo,Liverpool,DEF,8.0,9.194333333333335
Abdukodir Khusanov,Manchester City,DEF,35.0,30.048333333333332
Bernardo Silva,Manchester City,MID,38.0,23.411666666666665
Ederson,Manchester City,GK,20.0,23.405
Erling Haaland,Manchester City,FWD,180.0,126.89
Jack Grealish,Manchester City,MID,28.0,26.696666666666665
